16376.00 1641495300.00
16163.00 1641495300.01
16057.00 1641495300.02
16125.00 1641495300.03
16205.00 1641495300.04
16161.00 1641495300.05
16235.00 1641495300.06
16242.00 1641495300.07
16098.00 1641495300.08
16056.00 1641495300.09
15892.00 1641495300.10
15765.00 1641495300.11
15597.00 1641495300.12
15339.00 1641495300.13
15586.00 1641495300.14
15909.00 1641495300.15
16146.00 1641495300.16
16294.00 1641495300.17
16543.00 1641495300.18
16818.00 1641495300.19
16770.00 1641495300.20
16797.00 1641495300.21
16551.00 1641495300.22
16543.00 1641495300.23
16385.00 1641495300.24
16715.00 1641495300.25
16694.00 1641495300.26
16041.00 1641495300.27
16301.00 1641495300.28
16210.00 1641495300.29
16219.00 1641495300.30
16320.00 1641495300.31
16281.00 1641495300.32
16166.00 1641495300.33
16311.00 1641495300.34
16317.00 1641495300.35
16101.00 1641495300.36
16164.00 1641495300.37
16032.00 1641495300.38
16007.00 1641495300.39
16007.00 1641495300.40
16000.00 1641495300.41
16041.00 1641495300.42
16222.00 1641495300.43
16360.00 1641495300.44
16242.00 1641495300.45
16296.00 1641495300.46
16256.00 1641495300.47
16154.00 1641495300.48
16268.00 1641495300.49
16105.00 1641495300.50
16501.00 1641495300.51
16308.00 1641495300.52
15976.00 1641495300.53
16208.00 1641495300.54
16013.00 1641495300.55
16135.00 1641495300.56
16123.00 1641495300.57
16016.00 1641495300.58
15895.00 1641495300.59
15876.00 1641495300.60
15882.00 1641495300.61
15748.00 1641495300.62
15811.00 1641495300.63
16274.00 1641495300.64
16697.00 1641495300.65
16625.00 1641495300.66
16456.00 1641495300.67
16430.00 1641495300.68
16429.00 1641495300.69
16524.00 1641495300.70
16630.00 1641495300.71
16609.00 1641495300.72
16478.00 1641495300.73
16510.00 1641495300.74
16464.00 1641495300.75
16294.00 1641495300.76
16420.00 1641495300.77
16245.00 1641495300.78
16136.00 1641495300.79
16206.00 1641495300.80
16158.00 1641495300.81
16159.00 1641495300.82
16153.00 1641495300.83
16290.00 1641495300.84
16260.00 1641495300.85
16129.00 1641495300.86
15956.00 1641495300.87
15999.00 1641495300.88
16119.00 1641495300.89
16179.00 1641495300.90
16206.00 1641495300.91
15873.00 1641495300.92
16262.00 1641495300.93
16304.00 1641495300.94
15846.00 1641495300.95
16385.00 1641495300.96
16270.00 1641495300.97
16099.00 1641495300.98
16410.00 1641495300.99
16340.00 1641495301.00
16302.00 1641495301.01
16211.00 1641495301.02
16202.00 1641495301.03
16197.00 1641495301.04
16231.00 1641495301.05
16276.00 1641495301.06
16298.00 1641495301.07
16247.00 1641495301.08
16204.00 1641495301.09
16143.00 1641495301.10
16054.00 1641495301.11
16048.00 1641495301.12
16007.00 1641495301.13
16128.00 1641495301.14
16142.00 1641495301.15
16134.00 1641495301.16
16199.00 1641495301.17
16263.00 1641495301.18
16278.00 1641495301.19
16121.00 1641495301.20
16123.00 1641495301.21
16219.00 1641495301.22
16415.00 1641495301.23
16430.00 1641495301.24
16320.00 1641495301.25
16265.00 1641495301.26
16139.00 1641495301.27
16126.00 1641495301.28
16133.00 1641495301.29
16133.00 1641495301.30
16124.00 1641495301.31
16085.00 1641495301.32
16153.00 1641495301.33
16261.00 1641495301.34
16342.00 1641495301.35
